Date,Time,Site,Depth (cm),Instrument Used,Dissolved Oxygen (mg/L),Dissolved Oxygen (%),Conductivity-specific (mS/cm),Salinity (ppt),Temperature (C),Pressure (mmHg),pH,Turbidity (cm),Comments
05/15/2017,16:40,BNS2,10,YSI Pro2030,6.63,82.1,40.426274,,22.7,759.7,,,
05/15/2017,15:30,CUL1,0,YSI Pro2030,14.76,201.3,45.175748,,24.7,760.8,,,
05/15/2017,15:35,CUL1,10,YSI Pro2030,14.3,190.8,45.510218,,24.2,760.8,,,
05/15/2017,14:30,MO1,0,YSI Pro2030,15.78,212.26,42.433094,,23.6,761.7,,,Water covered in agal blanket
05/15/2017,14:35,MO1,15,YSI Pro2030,14.09,188.0,42.611478,,22.8,761.7,,,
05/15/2017,15:00,PIER,0,YSI Pro2030,8.72,115.4,42.488839,,22.8,760.0,,,Secchi depth = 1.15m
05/15/2017,15:05,PIER,285,YSI Pro2030,10.1,14.5,68.90082,,20.7,760.01,,,Bottom depth = 2.85m
05/15/2017,15:10,PIER,100,YSI Pro2030,7.96,104.4,43.391908,,21.8,760.2,,,
05/15/2017,15:45,VBR1,0,YSI Pro2030,8.72,118.5,25.241336,,27.5,760.04,,,
05/15/2017,15:50,VBR1,10,YSI Pro2030,8.53,121.6,43.436504,,26.1,760.2,,,
05/26/2017,15:10,DSP,0,YSI Pro2030,5.36,65.7,2.5241336,,25.5,762.9,,,
05/26/2017,14:30,MO1,0,YSI Pro2030,15.14,217.6,47.572783,,25.9,763.5,,,
05/26/2017,14:35,MO1,10,YSI Pro2030,13.2,184.4,46.781204,,24.8,763.1,,,
06/05/2017,16:10,BNS1,0,YSI Pro2030,10.6,182.7,80.16131,,29.7,758.7,,,
06/05/2017,,CUL1,0,YSI Pro2030,12.27,203.1,71.46509,,30.4,758.6,,,
06/05/2017,,CUL1,5,YSI Pro2030,11.76,192.4,72.02254,,28.4,758.2,,,
06/05/2017,14:35,MO1,0,YSI Pro2030,12.35,183.8,50.28199,,26.8,760.3,,,Heavy algal covering
06/05/2017,14:37,MO1,10,YSI Pro2030,13.2,185.9,49.769136,,24.2,760.1,,,"Sample taken at algae free area, approx 6m in"
06/05/2017,15:20,PIER,,YSI Pro2030,,,,,,,,0.5,
06/12/2017,,CUL1,7,YSI Pro2030,,170.0,84.28644,,27.3,761.1,,,
06/12/2017,15:00,MO1,0,YSI Pro2030,10.47,145.8,54.485163,,22.6,762.2,,,
06/12/2017,15:05,MO1,50,YSI Pro2030,10.2,142.3,54.474014,,22.7,762.0,,,
06/12/2017,,PIER,10,YSI Pro2030,,118.4,55.85649,,23.6,761.5,,0.45,Depth taken from post scale
06/12/2017,,PIER,60,YSI Pro2030,,119.9,55.85649,,23.6,760.8,,,
06/12/2017,,PIER,110,YSI Pro2030,,120.6,55.96798,,23.3,760.5,,,
06/12/2017,,PIER,160,YSI Pro2030,,83.2,58.19778,,20.7,760.2,,,
06/12/2017,,PIER,210,YSI Pro2030,,66.1,57.08288,,20.6,760.1,,,
06/12/2017,,PIER,260,YSI Pro2030,,0.0,58.08629,,20.3,759.7,,,At bottom
06/12/2017,16:05,VBR1,10,YSI Pro2030,,135.0,54.306779,,23.8,760.8,,50.0,"Water level taken from bridge, very windy"
06/12/2017,,VBR1,60,YSI Pro2030,,137.7,54.40712,,21.8,760.9,,50.0,Took sweep sample - 5 fish
06/12/2017,16:15,VBR1,86,YSI Pro2030,,136.7,53.62669,,21.9,760.9,,50.0,
07/07/2017,10:30,BNS1,10,YSI Pro2030,,91.0,81.3877,,31.0,759.0,,,"Water has receded~ 10 meters, a lot of boatmen"
07/07/2017,10:45,BNS2,3,YSI Pro2030,,73.0,64.55271,,29.4,758.4,,,
07/07/2017,11:00,DSP,2,YSI Pro2030,,63.0,3.12172,,25.4,757.7,,,
07/07/2017,11:05,DSP,40,YSI Pro2030,,55.0,4.12513,,24.8,757.7,,,
07/07/2017,12:15,PIER,10,YSI Pro2030,,79.0,69.34678,,26.1,752.2,,160.0,"Water level at post = 3.6m, 3.3m from deck towater surface"
07/07/2017,,PIER,110,YSI Pro2030,,42.0,69.68125,,25.3,766.4,,160.0,"4.9m from deck to disk vanish, 6m from deck to bottom"
07/07/2017,12:30,PIER,210,YSI Pro2030,,1.8,71.3536,,25.5,755.9,,160.0,
07/07/2017,12:35,PIER,310,YSI Pro2030,,0.4,72.35701,,24.6,755.0,,,
07/07/2017,11:30,VBR1,10,YSI Pro2030,,80.0,72.91446,,25.2,757.6,,,"From bridge deck: 180cm, 75cm depth of water, water too clear"
07/07/2017,11:35,VBR1,75,YSI Pro2030,,66.3,72.69148,,25.2,757.3,,,
07/10/2017,15:45,BNS1,2,YSI Pro2030,,62.0,114.05427,,32.3,758.0,,,
07/10/2017,15:10,CUL1,2,YSI Pro2030,,8.5,142.37273,,34.9,759.0,,,Black bags (numerous) swimming around bucket
07/10/2017,14:35,MO1,20,YSI Pro2030,,171.0,70.68466,,27.7,760.0,,,
07/14/2017,10:00,VBR2,35,YSI Pro2030,,39.0,81.16472,,22.4,765.0,,,Measure 5cm off bottom in channel at end of pickleweed
07/14/2017,10:00,VBR2,5,YSI Pro2030,,59.0,81.61068,,22.4,765.0,,,
07/21/2017,14:45,BNS2,5,YSI Pro2030,,198.0,80.83025,,34.7,759.2,,,~100 fish appear after disturbing site
07/21/2017,16:00,PIER,10,YSI Pro2030,,104.0,77.15108,,27.9,757.9,,55.0,"Deck to surface: 3.4m, deck to bottom: 5.9, post: 3.3m, water depth: 2.5 at hole in deck"
07/21/2017,16:00,PIER,60,YSI Pro2030,,106.0,77.15108,,27.8,757.8,,,
07/21/2017,16:00,PIER,110,YSI Pro2030,,93.0,77.15108,,27.6,757.7,,,
07/21/2017,16:00,PIER,160,YSI Pro2030,,47.5,78.26598,,25.8,757.4,,,
07/21/2017,16:00,PIER,210,YSI Pro2030,,20.0,77.82002,,25.0,757.5,,,
07/21/2017,16:00,PIER,240,YSI Pro2030,,3.1,77.93151,,24.9,757.5,,,
07/21/2017,15:25,VBR1,10,YSI Pro2030,,92.0,63.88377,,27.9,757.6,,60.0,Bridge deck to water: 170cm
07/21/2017,15:30,VBR1,80,YSI Pro2030,,46.0,88.0771,,26.3,757.1,,,
07/26/2017,9:30,BEACH S PLOVER,10,YSI Pro2030,,97.0,46.3,,19.6,764.4,,,
07/26/2017,10:30,CUL1,5,YSI Pro2030,,35.0,111.2,,23.2,759.9,,,
07/26/2017,10:32,CUL1,20,YSI Pro2030,,34.1,109.4,,22.6,759.9,,,
07/26/2017,10:00,MO1,5,YSI Pro2030,,82.0,69.9,,24.9,760.7,,,Saw 10's to 100 small fish near the algae sample
08/07/2017,15:25,CUL1,2,YSI Pro2030,,258.0,136.7,,32.7,759.0,8.4,,Boatman/beetle like organisms coming up to surface + diving
08/07/2017,15:25,CUL1,10,YSI Pro2030,,241.0,133.0,,32.0,758.5,,,"Peasoup but thinner. some 1cm bugs coming to surface, a 2cm larvae or worm present, mosquito larvae wriggling"
08/07/2017,14:30,MO1,15,YSI Pro2030,,165.0,81.3,,28.7,760.0,9.7,,"Mild breeze from ocean, alagae clear from near shore"
08/07/2017,14:50,PIER,10,YSI Pro2030,,120.0,83.6,,28.4,758.7,9.7,50.0,"Post: 3.1, deck to water: 3.48"
08/07/2017,,PIER,60,YSI Pro2030,,122.0,83.7,,28.4,758.7,,,
08/07/2017,,PIER,110,YSI Pro2030,,112.0,84.1,,27.7,759.0,,,
08/07/2017,15:00,PIER,160,YSI Pro2030,,18.6,84.9,,25.5,759.3,,,
08/07/2017,15:05,PIER,210,YSI Pro2030,,1.0,84.8,,25.1,759.6,,,
08/07/2017,15:50,VBR1,3,YSI Pro2030,,270.0,110.0,,34.7,758.0,9.2,,
08/07/2017,15:55,VBR2,10,YSI Pro2030,,178.0,106.3,,33.3,758.0,9.6,,
08/14/2017,15:40,CUL1,2,YSI Pro2030,,153.0,146.7,,26.4,757.9,8.4,,"Peasoup like consistency, a number of 1.5-2cm worm-like organisms near surface, looks like mosquito larvae as well"
08/14/2017,15:40,CUL1,20,YSI Pro2030,,119.0,145.7,,25.2,757.7,,,
08/14/2017,14:50,DSP,2,YSI Pro2030,,103.0,7.63,,26.8,760.1,8.7,,"Ducks on pond, do not seem bothered, continuing to feed ~ 15m from us"
08/14/2017,14:50,DSP,10,YSI Pro2030,,100.0,7.51,,26.8,760.0,,,Appear to be Mallards - did not bring binoculars
08/16/2017,18:20,CUL1,5,YSI Pro2030,,180.0,146.0,,26.9,761.7,8.8,,Water level = depth pond isolated
08/16/2017,17:30,MO1,15,YSI Pro2030,,216.0,88.2,,27.6,760.3,,9.7,
08/16/2017,17:50,PIER,10,YSI Pro2030,,130.0,88.5,,26.3,760.7,,,"Water level at post: 2.9m, Water level from pier deck: 3.3m"
08/16/2017,17:50,PIER,60,YSI Pro2030,,131.0,88.5,,26.3,760.7,,,
08/16/2017,18:00,PIER,110,YSI Pro2030,,86.0,90.1,,25.1,760.9,,,
08/16/2017,18:05,PIER,160,YSI Pro2030,,28.0,89.0,,23.7,761.0,,,
08/16/2017,,PIER,210,YSI Pro2030,,9.0,89.3,,23.3,761.0,,,
08/16/2017,18:10,PIER,260,YSI Pro2030,,1.5,88.0,,23.3,761.0,9.5,,pH measurements taken from mud
08/16/2017,18:35,VBR2,10,YSI Pro2030,,178.0,116.0,,27.8,761.1,9.6,,Water level = depth
08/30/2017,12:00,CUL1,.,YSI Pro2030,,140.0,157.1,,26.4,754.4,8.3,,
08/30/2017,10:55,MO1,5,YSI Pro2030,,145.0,91.0,,27.8,756.5,9.1,,
08/30/2017,11:22,PIER,10,YSI Pro2030,,54.0,93.8,,26.2,755.7,8.9,,
08/30/2017,11:22,PIER,60,YSI Pro2030,,35.0,91.7,,25.8,755.5,,,
08/30/2017,11:22,PIER,110,YSI Pro2030,,2.1,93.0,,24.9,754.9,,,
08/30/2017,12:18,VBR1,10,YSI Pro2030,,17.6,113.9,,27.7,754.2,,,
08/30/2017,12:18,VBR1,20,YSI Pro2030,,3.5,118.7,,25.6,754.1,,,
09/03/2017,10:35,CUL1,10,YSI Pro2030,,56.0,156.0,,23.9,737.9,8.3,,
09/03/2017,10:35,CUL1,bottom,YSI Pro2030,,56.0,156.0,,23.9,737.9,,,
09/03/2017,9:30,MO1,5,YSI Pro2030,,61.0,86.0,,26.9,759.9,8.9,,
09/03/2017,10:55,PIER,10,YSI Pro2030,,54.0,93.0,,28.1,755.8,,,
09/03/2017,10:55,PIER,50,YSI Pro2030,,29.3,93.0,,27.2,755.5,,,
09/03/2017,10:55,PIER,100,YSI Pro2030,,12.4,94.0,,26.4,755.3,,,
09/03/2017,10:55,PIER,150,YSI Pro2030,,7.4,93.5,,24.9,755.0,,,
09/03/2017,10:55,PIER,200,YSI Pro2030,,4.3,94.0,,24.3,754.7,,,
09/03/2017,10:55,PIER,250,YSI Pro2030,,3.5,94.0,,24.2,754.3,,,
09/03/2017,10:55,PIER,300,YSI Pro2030,,1.8,94.0,,24.2,754.0,,,
09/03/2017,10:15,VBR1,5,YSI Pro2030,,86.0,49.0,,27.7,758.1,9.0,,
09/06/2017,15:03,CHAN1,5,YSI Pro2030,,190.4,94.4,,28.9,759.7,9.1,,
09/06/2017,14:50,CHAN2,5,YSI Pro2030,,139.5,94.3,,30.5,759.9,8.9,,
09/06/2017,9:45,MO1,5,YSI Pro2030,,93.0,91.9,,25.4,762.0,9.1,,
09/06/2017,10:30,PIER,10,YSI Pro2030,,9.8,93.4,,25.9,760.4,8.9,,
09/06/2017,10:30,PIER,60,YSI Pro2030,,0.9,93.5,,25.2,761.2,,,
09/06/2017,10:30,PIER,110,YSI Pro2030,,0.7,93.5,,25.0,761.8,,,
09/06/2017,10:30,PIER,210,YSI Pro2030,,0.6,93.9,,24.3,762.0,,,
09/06/2017,11:20,VBR1,10,YSI Pro2030,,90.0,90.0,,29.2,759.6,8.8,,
09/06/2017,11:20,VBR1,20,YSI Pro2030,,80.0,101.0,,30.2,759.1,8.8,,
09/06/2017,14:00,VBR2,10,YSI Pro2030,,187.9,99.6,,30.9,760.3,9.3,,
09/07/2017,11:51,CHAN1,5,YSI Pro2030,10.61,192.5,93.9,,28.3,757.9,8.8,,
09/07/2017,11:45,CHAN2,5,YSI Pro2030,5.15,95.0,94.2,,27.7,757.3,8.8,,
09/07/2017,10:26,MO1,5,YSI Pro2030,7.14,107.9,55.5,,26.1,759.1,8.8,,
09/07/2017,11:01,PIER,10,YSI Pro2030,3.36,62.5,94.3,,26.1,757.4,8.8,,
09/07/2017,11:01,PIER,60,YSI Pro2030,0.74,14.1,94.0,,25.1,756.4,,,
09/07/2017,11:01,PIER,110,YSI Pro2030,0.06,1.2,93.8,,24.4,756.1,,,
09/07/2017,11:01,PIER,160,YSI Pro2030,0.17,2.8,94.3,,24.3,754.8,,,
09/07/2017,11:01,PIER,210,YSI Pro2030,0.03,0.6,94.3,,24.2,755.2,,,
09/07/2017,12:17,VBR1,10,YSI Pro2030,4.42,78.5,83.5,,28.3,756.2,8.8,,
09/07/2017,12:17,VBR1,20,YSI Pro2030,,74.1,101.8,,31.8,756.2,,,
09/07/2017,12:09,VBR2,5,YSI Pro2030,,151.0,101.5,,29.3,758.5,9.2,,
09/08/2017,10:15,MO1,5,YSI Pro2030,61.98,105.2,57.6,,26.1,757.9,8.9,,
09/08/2017,15:03,MO1,8,YSI Pro2030,,99.3,93.6,,28.2,756.7,8.9,,
09/08/2017,15:03,MO1,.,YSI Pro2030,,110.6,94.5,,27.5,756.8,,,
09/08/2017,10:45,PIER,5,YSI Pro2030,2.59,42.0,94.1,,26.3,756.7,8.8,,
09/08/2017,10:45,PIER,10,YSI Pro2030,0.39,6.7,94.1,,24.6,756.0,,,
09/08/2017,10:45,PIER,60,YSI Pro2030,0.07,1.2,94.2,,24.5,755.8,,,
09/08/2017,10:45,PIER,110,YSI Pro2030,0.04,0.8,94.3,,24.3,755.7,,,
09/08/2017,10:45,PIER,160,YSI Pro2030,0.03,0.6,94.3,,24.1,755.9,,,
09/08/2017,10:45,PIER,210,YSI Pro2030,0.01,0.3,94.5,,24.0,756.0,,,
09/08/2017,15:35,PIER,10,YSI Pro2030,,122.1,94.3,,29.6,756.7,9.0,,
09/08/2017,15:35,PIER,60,YSI Pro2030,,117.8,94.4,,29.4,756.7,,,
09/08/2017,15:35,PIER,110,YSI Pro2030,,22.0,97.8,,26.2,756.7,,,
09/08/2017,15:35,PIER,160,YSI Pro2030,,7.0,95.5,,25.1,756.8,,,
09/08/2017,15:35,PIER,210,YSI Pro2030,,3.7,94.6,,24.2,756.8,,,
09/08/2017,11:15,VBR1,10,YSI Pro2030,6.67,108.0,66.9,,26.1,756.8,8.9,,
09/08/2017,11:15,VBR1,20,YSI Pro2030,,110.7,101.5,,30.8,756.3,,,
09/08/2017,11:30,VBR2,5,YSI Pro2030,,106.4,102.1,,28.5,755.1,9.2,,
09/08/2017,16:15,VBR2,5,YSI Pro2030,,150.0,104.0,,33.3,757.3,9.4,,
09/08/2017,16:10,VBR2,15,YSI Pro2030,,169.0,104.2,,33.5,756.8,,,
09/10/2017,12:10,CUL1,10,YSI Pro2030,,49.0,162.0,,20.7,758.9,8.5,,
09/10/2017,11:16,MO1,5,YSI Pro2030,,137.0,93.0,,25.2,761.5,9.0,,
09/10/2017,12:40,PIER,10,YSI Pro2030,,93.0,94.6,,25.6,758.3,,,
09/10/2017,12:40,PIER,50,YSI Pro2030,,76.2,94.5,,25.6,758.3,,,
09/10/2017,12:40,PIER,100,YSI Pro2030,,46.4,94.9,,24.9,758.3,,,
09/10/2017,12:40,PIER,150,YSI Pro2030,,20.5,95.1,,24.0,758.3,,,
09/10/2017,12:40,PIER,200,YSI Pro2030,,9.4,95.3,,23.8,757.8,,,
09/10/2017,12:40,PIER,250,YSI Pro2030,,6.2,95.4,,24.0,757.7,,,
09/10/2017,11:40,VBR1,5,YSI Pro2030,,58.0,95.0,,26.8,758.9,9.1,,
09/12/2017,12:43,MO1,5,YSI Pro2030,4.7,83.0,92.5,,23.9,762.3,9.0,,
09/12/2017,10:14,PIER,10,YSI Pro2030,1.53,28.3,94.6,,25.3,761.6,9.0,,
09/12/2017,10:14,PIER,60,YSI Pro2030,1.46,26.1,94.7,,25.1,761.6,,,
09/12/2017,10:14,PIER,110,YSI Pro2030,0.07,1.6,94.2,,25.0,761.3,,,
09/12/2017,10:14,PIER,160,YSI Pro2030,0.05,1.0,95.2,,24.1,761.2,,,
09/12/2017,10:14,PIER,210,YSI Pro2030,0.04,0.9,95.3,,23.9,761.2,,,
09/12/2017,11:25,VBR1,10,YSI Pro2030,5.91,75.6,11.15,,25.4,759.4,9.2,,
09/12/2017,11:25,VBR1,20,YSI Pro2030,4.46,91.3,92.2,,32.2,759.0,,,
09/12/2017,11:15,VBR2,5,YSI Pro2030,2.92,31.4,40.29,,24.9,761.1,9.2,,
09/13/2017,10:13,MO1,5,YSI Pro2030,8.81,133.8,65.8,,24.7,761.1,8.9,,
09/13/2017,10:32,PIER,10,YSI Pro2030,0.97,19.2,94.8,,25.3,757.9,8.9,,
09/13/2017,10:32,PIER,60,YSI Pro2030,0.26,5.0,94.6,,24.4,758.2,,,
09/13/2017,10:32,PIER,110,YSI Pro2030,0.13,2.6,95.1,,24.2,757.5,,,
09/13/2017,10:32,PIER,160,YSI Pro2030,0.11,2.2,95.1,,23.8,757.3,,,
09/13/2017,10:32,PIER,210,YSI Pro2030,0.09,1.6,95.2,,23.7,756.9,,,
09/13/2017,11:11,VBR1,10,YSI Pro2030,,,34.71,,28.9,759.3,9.3,,
09/13/2017,11:11,VBR1,20,YSI Pro2030,,,35.45,,28.4,759.2,,,
09/13/2017,11:01,VBR2,5,YSI Pro2030,5.61,77.4,38.17,,24.9,758.0,9.0,,
09/15/2017,10:14,MO1,5,YSI Pro2030,6.5,111.7,52.3,,24.8,761.3,8.8,,
09/15/2017,10:30,PIER,10,YSI Pro2030,0.13,2.6,96.1,,24.3,759.9,8.8,,
09/15/2017,10:30,PIER,60,YSI Pro2030,0.11,1.9,95.8,,24.0,759.7,,,
09/15/2017,10:30,PIER,110,YSI Pro2030,0.07,1.4,95.8,,23.5,759.4,,,
09/15/2017,10:30,PIER,160,YSI Pro2030,0.06,1.1,95.8,,23.2,759.0,,,
09/15/2017,10:30,PIER,210,YSI Pro2030,0.06,1.0,95.9,,23.2,758.5,,,
09/15/2017,11:00,VBR1,10,YSI Pro2030,6.5,77.8,31.99,,22.6,758.6,9.5,,
09/15/2017,11:00,VBR1,20,YSI Pro2030,,126.5,94.9,,33.3,759.1,,,
09/15/2017,10:56,VBR2,5,YSI Pro2030,3.85,53.1,41.8,,23.9,759.3,9.2,,
09/18/2017,10:36,PIER,10,YSI Pro2030,0.58,8.4,96.2,,23.8,760.8,,,
09/18/2017,10:36,PIER,60,YSI Pro2030,0.31,5.4,96.5,,23.1,760.4,,,
09/18/2017,10:36,PIER,110,YSI Pro2030,0.14,2.4,96.6,,22.7,759.7,,,
09/18/2017,10:36,PIER,160,YSI Pro2030,0.08,1.4,96.6,,22.2,759.1,,,
09/18/2017,10:36,PIER,210,YSI Pro2030,0.18,3.2,96.6,,22.2,758.4,,,
09/21/2017,10:42,PIER,10,YSI Pro2030,5.01,86.9,96.3,,22.8,,8.9,,instrument did not save pressure measurement
09/21/2017,10:42,PIER,60,YSI Pro2030,4.96,86.2,96.4,,22.8,,,,instrument did not save pressure measurement
09/21/2017,10:42,PIER,110,YSI Pro2030,4.68,81.0,96.6,,22.6,,,,instrument did not save pressure measurement
09/21/2017,10:42,PIER,160,YSI Pro2030,4.69,81.2,96.7,,22.5,,,,instrument did not save pressure measurement
09/21/2017,10:42,PIER,210,YSI Pro2030,,56.0,97.3,,22.2,,,,instrument did not save pressure measurement
09/22/2017,8:24,PIER,10,YSI Pro2030,,86.1,97.7,,21.1,759.4,9.0,,
09/22/2017,8:24,PIER,60,YSI Pro2030,,79.3,97.9,,20.3,759.3,,,
09/22/2017,8:24,PIER,110,YSI Pro2030,,64.5,98.2,,19.5,759.1,,,
09/22/2017,8:24,PIER,160,YSI Pro2030,,43.9,99.0,,19.5,758.7,,,
09/22/2017,8:24,PIER,210,YSI Pro2030,,16.5,98.9,,19.5,758.4,,,
09/26/2017,10:40,PIER,10,YSI Pro2030,,110.4,98.6,,22.0,755.5,9.2,,
09/26/2017,10:40,PIER,60,YSI Pro2030,,108.7,98.5,,21.0,755.0,,,
09/26/2017,10:40,PIER,110,YSI Pro2030,,68.6,98.6,,20.9,753.4,,,
09/26/2017,10:40,PIER,160,YSI Pro2030,,74.9,99.0,,20.6,752.7,,,
